order_creation_date,item_category,product_name,quantity,deal_price,platform
2024-01-01,Apparel,Printed Silk Shawl,3,35.0,Shopee
2024-01-01,Accessories,Fashion Sunglasses,1,15.0,Shopee
2024-01-01,Apparel,Printed Silk Shawl,2,35.0,Shopee
2024-01-01,Accessories,Fashion Sunglasses,2,15.0,TikTok Shop
2024-01-01,Accessories,Canvas Tote Bag,4,18.0,TikTok Shop
2024-01-02,Accessories,Fashion Sunglasses,2,15.0,Instagram
2024-01-02,Apparel,Printed Silk Shawl,1,35.0,Instagram
2024-01-02,Apparel,Printed Silk Shawl,2,35.0,Shopee
2024-01-02,Apparel,Basic Cotton Hijab,4,25.0,Shopee
2024-01-02,Apparel,Printed Silk Shawl,4,35.0,TikTok Shop
2024-01-02,Accessories,Canvas Tote Bag,2,18.0,TikTok Shop
2024-01-03,Apparel,Basic Cotton Hijab,2,25.0,Instagram
2024-01-03,Accessories,Fashion Sunglasses,3,15.0,Shopee
2024-01-03,Apparel,Printed Silk Shawl,1,35.0,Shopee
2024-01-03,Accessories,Canvas Tote Bag,4,18.0,TikTok Shop
2024-01-03,Accessories,Fashion Sunglasses,2,15.0,TikTok Shop
2024-01-04,Accessories,Fashion Sunglasses,1,15.0,Shopee
2024-01-04,Accessories,Fashion Sunglasses,2,15.0,Shopee
2024-01-04,Apparel,Basic Cotton Hijab,3,25.0,Shopee
2024-01-04,Accessories,Canvas Tote Bag,3,18.0,TikTok Shop
2024-01-05,Accessories,Fashion Sunglasses,1,15.0,Instagram
2024-01-05,Accessories,Fashion Sunglasses,3,15.0,Instagram
2024-01-05,Apparel,Printed Silk Shawl,1,35.0,Shopee
2024-01-05,Accessories,Fashion Sunglasses,2,15.0,Shopee
2024-01-05,Apparel,Basic Cotton Hijab,2,25.0,TikTok Shop
2024-01-05,Accessories,Fashion Sunglasses,3,15.0,TikTok Shop
2024-01-06,Accessories,Fashion Sunglasses,1,15.0,Instagram
2024-01-06,Accessories,Fashion Sunglasses,3,15.0,Instagram
2024-01-06,Apparel,Printed Silk Shawl,1,35.0,Shopee
2024-01-06,Apparel,Basic Cotton Hijab,1,25.0,Shopee
2024-01-06,Accessories,Canvas Tote Bag,5,18.0,TikTok Shop
2024-01-07,Accessories,Fashion Sunglasses,1,15.0,Instagram
2024-01-07,Apparel,Printed Silk Shawl,2,35.0,Shopee
2024-01-07,Apparel,Printed Silk Shawl,1,35.0,TikTok Shop
2024-01-07,Apparel,Printed Silk Shawl,3,35.0,TikTok Shop
2024-01-08,Accessories,Canvas Tote Bag,1,18.0,Instagram
2024-01-08,Accessories,Canvas Tote Bag,1,18.0,Instagram
