order_creation_date,item_category,product_name,quantity,deal_price,platform
2026-01-12,Apparel,Basic Cotton Tee,4,25.0,Shopee
2026-01-12,Apparel,Premium Hijab,5,35.0,TikTok Shop
2026-01-12,Accessories,Tote Bag,3,18.0,Shopee
2026-01-12,Accessories,Sunglasses,2,15.0,Shopee
2026-01-13,Apparel,Basic Cotton Tee,4,25.0,TikTok Shop
2026-01-13,Apparel,Premium Hijab,6,35.0,Shopee
2026-01-13,Accessories,Tote Bag,2,18.0,Shopee
2026-01-13,Accessories,Sunglasses,3,15.0,Shopee
2026-01-14,Apparel,Basic Cotton Tee,4,25.0,Shopee
2026-01-14,Apparel,Premium Hijab,7,35.0,Shopee
2026-01-14,Accessories,Tote Bag,2,18.0,Shopee
2026-01-14,Accessories,Sunglasses,2,15.0,Shopee
2026-01-15,Apparel,Basic Cotton Tee,3,25.0,TikTok Shop
2026-01-15,Apparel,Premium Hijab,6,35.0,TikTok Shop
2026-01-15,Accessories,Tote Bag,9,18.0,TikTok Shop
2026-01-15,Accessories,Sunglasses,1,15.0,Shopee
2026-01-16,Apparel,Basic Cotton Tee,5,25.0,Shopee
2026-01-16,Apparel,Premium Hijab,5,35.0,Shopee
2026-01-16,Accessories,Tote Bag,3,18.0,Shopee
2026-01-17,Apparel,Basic Cotton Tee,5,25.0,Shopee
2026-01-17,Apparel,Premium Hijab,9,35.0,Shopee
2026-01-17,Accessories,Tote Bag,8,18.0,Shopee
2026-01-17,Accessories,Sunglasses,1,15.0,Shopee
2026-01-18,Apparel,Basic Cotton Tee,8,25.0,Shopee
2026-01-18,Apparel,Premium Hijab,6,35.0,TikTok Shop
2026-01-18,Accessories,Tote Bag,3,18.0,Shopee
2026-01-18,Accessories,Sunglasses,1,15.0,Shopee
2026-01-19,Apparel,Basic Cotton Tee,2,25.0,TikTok Shop
2026-01-19,Apparel,Premium Hijab,7,35.0,Shopee
2026-01-19,Accessories,Tote Bag,1,18.0,Shopee
