order_creation_date,item_category,product_name,quantity,deal_price,platform
2026-01-12,Gifts,Custom Keychains,2,12.0,Shopee
2026-01-12,Food,Brownie Box,1,35.0,Shopee
2026-01-13,Gifts,Custom Keychains,1,12.0,Shopee
2026-01-13,Food,Brownie Box,1,35.0,Shopee
2026-01-14,Home,Handmade Scented Candle,1,25.0,Shopee
2026-01-14,Food,Brownie Box,2,35.0,Shopee
2026-01-15,Gifts,Custom Keychains,1,12.0,Shopee
2026-01-15,Home,Handmade Scented Candle,2,25.0,Shopee
2026-01-16,Gifts,Custom Keychains,1,12.0,Shopee
2026-01-16,Home,Handmade Scented Candle,1,25.0,TikTok Shop
2026-01-17,Gifts,Custom Keychains,2,12.0,Shopee
2026-01-17,Home,Handmade Scented Candle,2,25.0,Shopee
2026-01-17,Food,Brownie Box,1,35.0,Shopee
2026-01-18,Gifts,Custom Keychains,1,12.0,TikTok Shop
2026-01-18,Food,Brownie Box,2,35.0,TikTok Shop
2026-01-19,Gifts,Custom Keychains,1,12.0,Shopee
2026-01-19,Home,Handmade Scented Candle,1,25.0,Shopee
2026-01-20,Gifts,Custom Keychains,2,12.0,TikTok Shop
2026-01-20,Home,Handmade Scented Candle,1,25.0,Shopee
2026-01-20,Food,Brownie Box,1,35.0,Shopee
2026-01-21,Gifts,Custom Keychains,1,12.0,Shopee
2026-01-21,Food,Brownie Box,2,35.0,Shopee
2026-01-22,Gifts,Custom Keychains,1,12.0,TikTok Shop
2026-01-22,Home,Handmade Scented Candle,2,25.0,Shopee
2026-01-22,Food,Brownie Box,1,35.0,TikTok Shop
2026-01-23,Home,Handmade Scented Candle,1,25.0,Shopee
2026-01-23,Food,Brownie Box,2,35.0,TikTok Shop
2026-01-24,Gifts,Custom Keychains,1,12.0,Shopee
2026-01-24,Home,Handmade Scented Candle,3,25.0,TikTok Shop
2026-01-24,Food,Brownie Box,1,35.0,TikTok Shop
2026-01-25,Gifts,Custom Keychains,4,11.4,Shopee
2026-01-25,Food,Brownie Box,1,33.25,TikTok Shop
2026-01-26,Gifts,Custom Keychains,3,11.4,Shopee
2026-01-26,Home,Handmade Scented Candle,2,23.75,Shopee
2026-01-26,Food,Brownie Box,2,33.25,TikTok Shop
2026-01-27,Gifts,Custom Keychains,3,11.4,Shopee
2026-01-27,Home,Handmade Scented Candle,2,23.75,TikTok Shop
2026-01-28,Gifts,Custom Keychains,1,11.4,Shopee
2026-01-28,Home,Handmade Scented Candle,2,23.75,Shopee
2026-01-28,Food,Brownie Box,4,33.25,Shopee
2026-01-29,Gifts,Custom Keychains,2,12.0,Shopee
2026-01-30,Gifts,Custom Keychains,3,12.0,Shopee
2026-01-30,Home,Handmade Scented Candle,1,25.0,Shopee
2026-01-31,Gifts,Custom Keychains,1,12.0,Shopee
2026-01-31,Home,Handmade Scented Candle,1,25.0,Shopee
2026-01-31,Food,Brownie Box,1,35.0,Shopee
2026-02-01,Gifts,Custom Keychains,1,12.0,Shopee
2026-02-01,Home,Handmade Scented Candle,3,25.0,Shopee
2026-02-01,Food,Brownie Box,1,35.0,Shopee
2026-02-02,Gifts,Custom Keychains,4,10.2,TikTok Shop
2026-02-02,Home,Handmade Scented Candle,3,21.25,Shopee
2026-02-02,Food,Brownie Box,2,29.75,TikTok Shop
2026-02-03,Gifts,Custom Keychains,1,12.0,TikTok Shop
2026-02-03,Home,Handmade Scented Candle,1,25.0,Shopee
2026-02-04,Gifts,Custom Keychains,2,12.0,Shopee
2026-02-04,Home,Handmade Scented Candle,1,25.0,Shopee
2026-02-04,Food,Brownie Box,1,35.0,Shopee
2026-02-05,Gifts,Custom Keychains,3,12.0,Shopee
2026-02-06,Gifts,Custom Keychains,1,12.0,Shopee
2026-02-06,Home,Handmade Scented Candle,1,25.0,Shopee
2026-02-07,Home,Handmade Scented Candle,2,25.0,TikTok Shop
2026-02-08,Gifts,Custom Keychains,1,12.0,Shopee
2026-02-08,Food,Brownie Box,1,35.0,Shopee
2026-02-09,Gifts,Custom Keychains,2,12.0,TikTok Shop
2026-02-09,Home,Handmade Scented Candle,1,25.0,Shopee
2026-02-10,Food,Brownie Box,3,35.0,Shopee
2026-02-11,Gifts,Custom Keychains,2,12.0,Shopee
2026-02-11,Food,Brownie Box,1,35.0,TikTok Shop
2026-02-12,Gifts,Custom Keychains,3,12.0,Shopee
2026-02-12,Food,Brownie Box,1,35.0,Shopee
2026-02-13,Gifts,Custom Keychains,1,12.0,Shopee
2026-02-13,Home,Handmade Scented Candle,2,25.0,Shopee
2026-02-13,Food,Brownie Box,1,35.0,Shopee
2026-02-14,Gifts,Custom Keychains,1,12.0,Shopee
2026-02-14,Home,Handmade Scented Candle,1,25.0,Shopee
2026-02-14,Food,Brownie Box,1,35.0,Shopee
2026-02-15,Home,Handmade Scented Candle,1,25.0,Shopee
2026-02-15,Food,Brownie Box,1,35.0,TikTok Shop
2026-02-16,Home,Handmade Scented Candle,1,25.0,Shopee
2026-02-16,Food,Brownie Box,2,35.0,Shopee
2026-02-17,Home,Handmade Scented Candle,1,25.0,Shopee
2026-02-17,Food,Brownie Box,2,35.0,TikTok Shop
2026-02-18,Gifts,Custom Keychains,2,12.0,Shopee
2026-02-18,Home,Handmade Scented Candle,2,25.0,Shopee
2026-02-19,Home,Handmade Scented Candle,3,25.0,Shopee
2026-02-19,Food,Brownie Box,1,35.0,Shopee
2026-02-20,Gifts,Custom Keychains,2,12.0,Shopee
2026-02-20,Home,Handmade Scented Candle,1,25.0,Shopee
2026-02-20,Food,Brownie Box,1,35.0,Shopee
2026-02-21,Gifts,Custom Keychains,2,12.0,TikTok Shop
2026-02-21,Home,Handmade Scented Candle,1,25.0,Shopee
2026-02-21,Food,Brownie Box,2,35.0,TikTok Shop
2026-02-22,Gifts,Custom Keychains,3,12.0,Shopee
2026-02-22,Home,Handmade Scented Candle,1,25.0,Shopee
2026-02-22,Food,Brownie Box,1,35.0,Shopee
2026-02-23,Gifts,Custom Keychains,2,12.0,Shopee
2026-02-23,Home,Handmade Scented Candle,1,25.0,Shopee
2026-02-23,Food,Brownie Box,1,35.0,Shopee
2026-02-24,Gifts,Custom Keychains,1,12.0,TikTok Shop
2026-02-24,Home,Handmade Scented Candle,1,25.0,Shopee
2026-02-24,Food,Brownie Box,1,35.0,TikTok Shop
2026-02-25,Gifts,Custom Keychains,1,11.4,Shopee
2026-02-25,Home,Handmade Scented Candle,2,23.75,Shopee
2026-02-25,Food,Brownie Box,4,33.25,Shopee
2026-02-26,Gifts,Custom Keychains,2,11.4,Shopee
2026-02-26,Home,Handmade Scented Candle,1,23.75,Shopee
2026-02-27,Gifts,Custom Keychains,5,11.4,TikTok Shop
2026-02-27,Food,Brownie Box,2,33.25,Shopee
2026-02-28,Gifts,Custom Keychains,6,11.4,Shopee
2026-02-28,Home,Handmade Scented Candle,1,23.75,Shopee
2026-02-28,Food,Brownie Box,2,33.25,Shopee
2026-03-01,Food,Brownie Box,2,35.0,Shopee
2026-03-02,Gifts,Custom Keychains,2,12.0,Shopee
2026-03-02,Home,Handmade Scented Candle,1,25.0,Shopee
2026-03-03,Gifts,Custom Keychains,5,10.2,Shopee
2026-03-03,Home,Handmade Scented Candle,2,21.25,Shopee
2026-03-03,Food,Brownie Box,2,29.75,TikTok Shop
2026-03-04,Gifts,Custom Keychains,1,12.0,Shopee
