order_creation_date,item_category,product_name,quantity,deal_price,platform
2026-01-12,Beauty,Hydrating Serum 30ml,6,65.0,TikTok Shop
2026-01-12,Beauty,Daily Sunscreen 50g,4,45.0,TikTok Shop
2026-01-12,Beauty,Gentle Cleanser 100ml,5,35.0,Shopee
2026-01-12,Beauty,Skincare Bundle Set,5,120.0,Shopee
2026-01-13,Beauty,Hydrating Serum 30ml,5,65.0,Shopee
2026-01-13,Beauty,Daily Sunscreen 50g,4,45.0,Shopee
2026-01-13,Beauty,Gentle Cleanser 100ml,5,35.0,TikTok Shop
2026-01-13,Beauty,Skincare Bundle Set,1,120.0,TikTok Shop
2026-01-14,Beauty,Hydrating Serum 30ml,4,65.0,Shopee
2026-01-14,Beauty,Daily Sunscreen 50g,6,45.0,Shopee
2026-01-14,Beauty,Gentle Cleanser 100ml,4,35.0,Shopee
2026-01-14,Beauty,Skincare Bundle Set,1,120.0,Shopee
2026-01-15,Beauty,Hydrating Serum 30ml,9,65.0,TikTok Shop
2026-01-15,Beauty,Daily Sunscreen 50g,4,45.0,TikTok Shop
2026-01-15,Beauty,Gentle Cleanser 100ml,1,35.0,Shopee
2026-01-15,Beauty,Skincare Bundle Set,2,120.0,TikTok Shop
2026-01-16,Beauty,Hydrating Serum 30ml,5,65.0,Shopee
2026-01-16,Beauty,Daily Sunscreen 50g,4,45.0,TikTok Shop
2026-01-16,Beauty,Gentle Cleanser 100ml,8,35.0,TikTok Shop
2026-01-16,Beauty,Skincare Bundle Set,5,120.0,TikTok Shop
2026-01-17,Beauty,Hydrating Serum 30ml,8,65.0,TikTok Shop
2026-01-17,Beauty,Daily Sunscreen 50g,10,45.0,Shopee
2026-01-17,Beauty,Gentle Cleanser 100ml,6,35.0,TikTok Shop
2026-01-17,Beauty,Skincare Bundle Set,2,120.0,Shopee
2026-01-18,Beauty,Hydrating Serum 30ml,4,65.0,Shopee
2026-01-18,Beauty,Daily Sunscreen 50g,6,45.0,Shopee
2026-01-18,Beauty,Skincare Bundle Set,6,120.0,Shopee
2026-01-19,Beauty,Hydrating Serum 30ml,4,65.0,Shopee
2026-01-19,Beauty,Daily Sunscreen 50g,4,45.0,Shopee
2026-01-19,Beauty,Gentle Cleanser 100ml,7,35.0,Shopee
2026-01-19,Beauty,Skincare Bundle Set,4,120.0,Shopee
2026-01-20,Beauty,Hydrating Serum 30ml,5,65.0,Shopee
2026-01-20,Beauty,Daily Sunscreen 50g,9,45.0,TikTok Shop
2026-01-20,Beauty,Gentle Cleanser 100ml,3,35.0,Shopee
2026-01-20,Beauty,Skincare Bundle Set,3,120.0,Shopee
2026-01-21,Beauty,Hydrating Serum 30ml,6,65.0,Shopee
2026-01-21,Beauty,Daily Sunscreen 50g,7,45.0,Shopee
2026-01-21,Beauty,Gentle Cleanser 100ml,6,35.0,Shopee
2026-01-21,Beauty,Skincare Bundle Set,4,120.0,TikTok Shop
2026-01-22,Beauty,Hydrating Serum 30ml,3,65.0,TikTok Shop
2026-01-22,Beauty,Daily Sunscreen 50g,9,45.0,Shopee
2026-01-22,Beauty,Gentle Cleanser 100ml,6,35.0,TikTok Shop
2026-01-22,Beauty,Skincare Bundle Set,4,120.0,Shopee
2026-01-23,Beauty,Hydrating Serum 30ml,5,65.0,Shopee
2026-01-23,Beauty,Daily Sunscreen 50g,6,45.0,TikTok Shop
2026-01-23,Beauty,Gentle Cleanser 100ml,6,35.0,Shopee
2026-01-23,Beauty,Skincare Bundle Set,6,120.0,Shopee
2026-01-24,Beauty,Hydrating Serum 30ml,5,65.0,Shopee
2026-01-24,Beauty,Daily Sunscreen 50g,6,45.0,Shopee
2026-01-24,Beauty,Gentle Cleanser 100ml,4,35.0,Shopee
2026-01-24,Beauty,Skincare Bundle Set,5,120.0,Shopee
2026-01-25,Beauty,Hydrating Serum 30ml,14,61.75,Shopee
2026-01-25,Beauty,Daily Sunscreen 50g,14,42.75,Shopee
2026-01-25,Beauty,Gentle Cleanser 100ml,6,33.25,TikTok Shop
2026-01-25,Beauty,Skincare Bundle Set,14,114.0,TikTok Shop
2026-01-26,Beauty,Hydrating Serum 30ml,12,61.75,Shopee
2026-01-26,Beauty,Daily Sunscreen 50g,11,42.75,Shopee
2026-01-26,Beauty,Gentle Cleanser 100ml,9,33.25,Shopee
2026-01-26,Beauty,Skincare Bundle Set,9,114.0,Shopee
2026-01-27,Beauty,Hydrating Serum 30ml,8,61.75,TikTok Shop
2026-01-27,Beauty,Daily Sunscreen 50g,14,42.75,Shopee
