Date,Product Name,Category,Quantity,Price,Platform
2026-05-01,Silk Hijab,Apparel,18,33.72,Instagram
2026-05-01,Baju Melayu Set,Apparel,7,89.88,Instagram
2026-05-01,Tote Bag,Accessories,38,29.61,Shopee
2026-05-01,Silk Hijab,Apparel,14,33.66,Shopee
2026-05-01,Crossbody Bag,Accessories,36,68.49,Shopee
2026-05-01,Wireless Earbuds Pro,Electronics,35,88.6,Instagram
2026-05-01,Slip-on Sandals,Footwear,18,36.55,TikTok Shop
2026-05-01,Silk Hijab,Apparel,45,34.61,Shopee
2026-05-01,Batik Shirt,Apparel,14,57.29,Shopee
2026-05-01,Canvas Sneakers,Footwear,6,48.4,Shopee
2026-05-01,Canvas Sneakers,Footwear,39,47.82,Shopee
2026-05-01,Silk Hijab,Apparel,30,35.18,Instagram
2026-05-01,Heeled Wedges,Footwear,36,66.97,Shopee
2026-05-01,Wireless Earbuds Pro,Electronics,24,89.39,TikTok Shop
2026-05-01,Printed Blouse,Apparel,43,30.64,Shopee
2026-05-01,Batik Shirt,Apparel,15,56.83,Shopee
2026-05-01,Heeled Wedges,Footwear,30,68.68,Shopee
2026-05-01,Canvas Sneakers,Footwear,24,48.28,Shopee
2026-05-01,Wireless Earbuds Pro,Electronics,45,91.18,Shopee
2026-05-01,Wireless Earbuds Pro,Electronics,39,89.67,Shopee
2026-05-01,Tote Bag,Accessories,16,28.32,Instagram
2026-05-01,Heeled Wedges,Footwear,41,68.94,Shopee
2026-05-01,Casual Kurung,Apparel,21,76.71,Instagram
2026-05-02,Casual Kurung,Apparel,21,74.51,Shopee
2026-05-02,Printed Blouse,Apparel,37,33.88,Shopee
2026-05-02,Canvas Sneakers,Footwear,42,49.0,Shopee
2026-05-02,Wireless Earbuds Pro,Electronics,10,87.82,TikTok Shop
2026-05-02,Casual Kurung,Apparel,36,75.19,Instagram
2026-05-02,Crossbody Bag,Accessories,38,69.5,TikTok Shop
2026-05-02,Casual Kurung,Apparel,33,74.97,Shopee
2026-05-02,Silk Hijab,Apparel,10,35.64,Shopee
2026-05-02,Wireless Earbuds Pro,Electronics,39,86.82,TikTok Shop
2026-05-02,Heeled Wedges,Footwear,30,68.15,TikTok Shop
2026-05-02,Tote Bag,Accessories,44,31.1,Shopee
2026-05-02,Wireless Earbuds Pro,Electronics,18,90.34,TikTok Shop
2026-05-02,Canvas Sneakers,Footwear,19,48.67,Shopee
2026-05-02,Slip-on Sandals,Footwear,17,37.36,Shopee
2026-05-02,Baju Melayu Set,Apparel,7,90.85,TikTok Shop
2026-05-02,Batik Shirt,Apparel,33,55.54,Instagram
2026-05-02,Baju Melayu Set,Apparel,11,89.2,Shopee
2026-05-02,Tote Bag,Accessories,39,29.12,Shopee
2026-05-02,Silk Hijab,Apparel,24,36.89,Shopee
2026-05-02,Batik Shirt,Apparel,4,53.7,Shopee
2026-05-02,Crossbody Bag,Accessories,6,71.16,Shopee
2026-05-03,Tote Bag,Accessories,9,30.8,Shopee
2026-05-03,Tote Bag,Accessories,17,30.14,Shopee
2026-05-03,Crossbody Bag,Accessories,14,72.14,TikTok Shop
2026-05-03,Casual Kurung,Apparel,20,74.49,Instagram
2026-05-03,Wireless Earbuds Pro,Electronics,24,88.69,Instagram
2026-05-03,Tote Bag,Accessories,8,28.74,TikTok Shop
2026-05-03,Printed Blouse,Apparel,2,32.44,Shopee
2026-05-03,Casual Kurung,Apparel,15,72.54,TikTok Shop
2026-05-03,Wireless Earbuds Pro,Electronics,15,86.84,Shopee
2026-05-03,Silk Hijab,Apparel,5,35.07,Shopee
2026-05-03,Batik Shirt,Apparel,32,53.57,Instagram
2026-05-03,Baju Melayu Set,Apparel,37,89.38,Instagram
2026-05-03,Casual Kurung,Apparel,27,73.45,TikTok Shop
2026-05-03,Printed Blouse,Apparel,28,31.27,Instagram
2026-05-03,Heeled Wedges,Footwear,4,68.87,TikTok Shop
2026-05-03,Wireless Earbuds Pro,Electronics,4,88.51,Shopee
2026-05-03,Canvas Sneakers,Footwear,16,47.46,Shopee
2026-05-03,Tote Bag,Accessories,9,29.61,TikTok Shop
2026-05-03,Batik Shirt,Apparel,16,56.87,TikTok Shop
2026-05-03,Printed Blouse,Apparel,36,29.99,TikTok Shop
2026-05-03,Wireless Earbuds Pro,Electronics,1,91.34,TikTok Shop
2026-05-03,Casual Kurung,Apparel,27,74.93,Shopee
2026-05-04,Heeled Wedges,Footwear,11,67.39,Shopee
2026-05-04,Heeled Wedges,Footwear,30,66.93,Shopee
2026-05-04,Tote Bag,Accessories,32,28.27,Instagram
2026-05-04,Batik Shirt,Apparel,4,55.4,Shopee
2026-05-04,Tote Bag,Accessories,21,27.79,Shopee
2026-05-04,Crossbody Bag,Accessories,33,72.1,TikTok Shop
2026-05-04,Tote Bag,Accessories,4,32.3,Shopee
2026-05-04,Printed Blouse,Apparel,5,32.48,Shopee
2026-05-04,Wireless Earbuds Pro,Electronics,26,87.1,Shopee
2026-05-04,Crossbody Bag,Accessories,38,70.47,Shopee
2026-05-04,Crossbody Bag,Accessories,27,70.79,Shopee
2026-05-04,Crossbody Bag,Accessories,21,72.17,TikTok Shop
2026-05-04,Casual Kurung,Apparel,21,73.69,Instagram
2026-05-04,Heeled Wedges,Footwear,43,68.73,Shopee
2026-05-04,Slip-on Sandals,Footwear,5,32.55,Shopee
2026-05-04,Crossbody Bag,Accessories,7,67.87,TikTok Shop
2026-05-04,Casual Kurung,Apparel,17,73.16,TikTok Shop
2026-05-04,Canvas Sneakers,Footwear,16,48.35,Shopee
2026-05-04,Baju Melayu Set,Apparel,35,90.02,TikTok Shop
2026-05-04,Crossbody Bag,Accessories,34,67.54,Instagram
2026-05-04,Tote Bag,Accessories,43,28.02,Shopee
2026-05-04,Baju Melayu Set,Apparel,8,90.95,Shopee
2026-05-04,Tote Bag,Accessories,18,28.91,Shopee
2026-05-04,Casual Kurung,Apparel,22,73.52,Instagram
2026-05-04,Wireless Earbuds Pro,Electronics,33,88.94,Shopee
2026-05-04,Silk Hijab,Apparel,41,34.62,Shopee
2026-05-05,Silk Hijab,Apparel,22,36.36,Shopee
2026-05-05,Wireless Earbuds Pro,Electronics,11,90.21,Shopee
2026-05-05,Tote Bag,Accessories,28,30.3,Instagram
2026-05-05,Printed Blouse,Apparel,45,34.02,Shopee
2026-05-05,Tote Bag,Accessories,24,30.41,Shopee
2026-05-05,Baju Melayu Set,Apparel,9,86.71,TikTok Shop
2026-05-05,Canvas Sneakers,Footwear,23,47.55,Shopee
2026-05-05,Casual Kurung,Apparel,7,74.27,Instagram
2026-05-05,Tote Bag,Accessories,40,31.25,TikTok Shop
2026-05-05,Casual Kurung,Apparel,12,76.91,Shopee
2026-05-05,Silk Hijab,Apparel,22,36.41,Shopee
2026-05-05,Heeled Wedges,Footwear,16,66.83,Instagram
2026-05-05,Printed Blouse,Apparel,3,33.79,TikTok Shop
2026-05-05,Casual Kurung,Apparel,30,74.25,Shopee
2026-05-05,Casual Kurung,Apparel,2,75.8,Shopee
2026-05-05,Heeled Wedges,Footwear,18,69.82,Shopee
2026-05-05,Batik Shirt,Apparel,42,55.05,Shopee
2026-05-05,Wireless Earbuds Pro,Electronics,22,91.2,TikTok Shop
2026-05-05,Printed Blouse,Apparel,12,32.4,Shopee
2026-05-05,Batik Shirt,Apparel,7,55.48,Shopee
2026-05-05,Canvas Sneakers,Footwear,21,48.68,Instagram
2026-05-05,Tote Bag,Accessories,25,32.0,Shopee
2026-05-05,Casual Kurung,Apparel,3,76.04,Shopee
2026-05-05,Silk Hijab,Apparel,35,35.93,TikTok Shop
2026-05-05,Wireless Earbuds Pro,Electronics,24,88.66,Shopee
2026-05-05,Wireless Earbuds Pro,Electronics,40,88.07,Shopee
2026-05-05,Printed Blouse,Apparel,20,32.04,Instagram
2026-05-05,Wireless Earbuds Pro,Electronics,21,88.51,TikTok Shop
2026-05-06,Tote Bag,Accessories,13,29.6,Shopee
2026-05-06,Heeled Wedges,Footwear,12,68.58,Instagram
2026-05-06,Batik Shirt,Apparel,36,56.67,TikTok Shop
2026-05-06,Batik Shirt,Apparel,14,54.65,Shopee
2026-05-06,Crossbody Bag,Accessories,42,69.11,TikTok Shop
2026-05-06,Slip-on Sandals,Footwear,44,33.57,TikTok Shop
2026-05-06,Slip-on Sandals,Footwear,11,35.79,Instagram
2026-05-06,Batik Shirt,Apparel,43,55.66,TikTok Shop
2026-05-06,Canvas Sneakers,Footwear,16,49.86,Shopee
2026-05-06,Casual Kurung,Apparel,10,72.62,Shopee
2026-05-06,Casual Kurung,Apparel,40,76.75,TikTok Shop
2026-05-06,Printed Blouse,Apparel,27,33.93,TikTok Shop
2026-05-06,Crossbody Bag,Accessories,45,69.42,Shopee
2026-05-06,Heeled Wedges,Footwear,10,68.78,Shopee
2026-05-06,Silk Hijab,Apparel,28,33.59,Shopee
2026-05-06,Tote Bag,Accessories,4,30.29,TikTok Shop
2026-05-06,Printed Blouse,Apparel,9,33.51,TikTok Shop
2026-05-06,Wireless Earbuds Pro,Electronics,36,89.48,TikTok Shop
2026-05-06,Slip-on Sandals,Footwear,33,34.63,TikTok Shop
2026-05-06,Tote Bag,Accessories,11,31.22,TikTok Shop
2026-05-06,Slip-on Sandals,Footwear,17,36.26,TikTok Shop
2026-05-06,Wireless Earbuds Pro,Electronics,34,88.92,Shopee
2026-05-06,Casual Kurung,Apparel,29,72.89,Shopee
2026-05-06,Batik Shirt,Apparel,18,54.18,Shopee
2026-05-06,Tote Bag,Accessories,9,28.25,Shopee
2026-05-06,Heeled Wedges,Footwear,10,69.03,Instagram
2026-05-06,Printed Blouse,Apparel,27,31.15,TikTok Shop
2026-05-06,Slip-on Sandals,Footwear,4,33.53,TikTok Shop
2026-05-06,Heeled Wedges,Footwear,38,70.23,TikTok Shop
2026-05-07,Crossbody Bag,Accessories,31,67.53,TikTok Shop
2026-05-07,Canvas Sneakers,Footwear,25,50.77,Shopee
2026-05-07,Heeled Wedges,Footwear,35,69.5,TikTok Shop
2026-05-07,Casual Kurung,Apparel,15,73.86,TikTok Shop
2026-05-07,Slip-on Sandals,Footwear,25,34.18,Shopee
2026-05-07,Wireless Earbuds Pro,Electronics,11,90.7,TikTok Shop
2026-05-07,Baju Melayu Set,Apparel,35,86.63,TikTok Shop
2026-05-07,Heeled Wedges,Footwear,37,68.81,TikTok Shop
2026-05-07,Printed Blouse,Apparel,28,30.18,Instagram
2026-05-07,Slip-on Sandals,Footwear,4,33.8,Shopee
2026-05-07,Canvas Sneakers,Footwear,30,48.13,Shopee
2026-05-07,Heeled Wedges,Footwear,27,66.76,Shopee
2026-05-07,Printed Blouse,Apparel,2,33.25,TikTok Shop
2026-05-07,Silk Hijab,Apparel,15,35.75,Shopee
2026-05-07,Wireless Earbuds Pro,Electronics,2,91.25,Shopee
2026-05-07,Casual Kurung,Apparel,40,73.26,Shopee
2026-05-07,Baju Melayu Set,Apparel,43,87.07,TikTok Shop
2026-05-07,Casual Kurung,Apparel,45,73.78,TikTok Shop
2026-05-07,Canvas Sneakers,Footwear,39,49.54,Shopee
2026-05-07,Printed Blouse,Apparel,20,30.04,Shopee
2026-05-08,Batik Shirt,Apparel,44,57.04,TikTok Shop
2026-05-08,Heeled Wedges,Footwear,13,65.88,TikTok Shop
2026-05-08,Wireless Earbuds Pro,Electronics,7,89.99,Shopee
2026-05-08,Batik Shirt,Apparel,39,56.53,Instagram
2026-05-08,Crossbody Bag,Accessories,23,70.16,Shopee
2026-05-08,Wireless Earbuds Pro,Electronics,5,89.03,Shopee
2026-05-08,Canvas Sneakers,Footwear,27,50.61,Shopee
2026-05-08,Printed Blouse,Apparel,24,32.68,TikTok Shop
2026-05-08,Slip-on Sandals,Footwear,10,34.68,Instagram
2026-05-08,Tote Bag,Accessories,18,30.58,Instagram
2026-05-08,Tote Bag,Accessories,30,29.68,TikTok Shop
2026-05-08,Crossbody Bag,Accessories,21,71.76,Shopee
2026-05-08,Printed Blouse,Apparel,29,30.72,Shopee
2026-05-08,Slip-on Sandals,Footwear,40,35.84,TikTok Shop
2026-05-08,Canvas Sneakers,Footwear,32,50.75,Shopee
2026-05-08,Baju Melayu Set,Apparel,14,88.27,TikTok Shop
2026-05-08,Batik Shirt,Apparel,18,56.9,Shopee
2026-05-08,Batik Shirt,Apparel,1,55.08,TikTok Shop
2026-05-08,Casual Kurung,Apparel,16,76.1,Shopee
2026-05-08,Slip-on Sandals,Footwear,16,35.95,TikTok Shop
2026-05-09,Slip-on Sandals,Footwear,6,33.97,Shopee
2026-05-09,Heeled Wedges,Footwear,16,67.03,Instagram
2026-05-09,Crossbody Bag,Accessories,31,70.27,Shopee
2026-05-09,Canvas Sneakers,Footwear,36,48.15,TikTok Shop
2026-05-09,Slip-on Sandals,Footwear,20,33.76,Shopee
2026-05-09,Printed Blouse,Apparel,13,31.08,Instagram
2026-05-09,Tote Bag,Accessories,12,28.46,Instagram
2026-05-09,Slip-on Sandals,Footwear,38,37.38,Shopee
2026-05-09,Tote Bag,Accessories,19,32.4,TikTok Shop
2026-05-09,Casual Kurung,Apparel,15,74.3,Shopee
2026-05-09,Batik Shirt,Apparel,35,53.13,Shopee
2026-05-09,Silk Hijab,Apparel,36,33.96,Shopee
2026-05-09,Baju Melayu Set,Apparel,32,87.01,Instagram
2026-05-09,Silk Hijab,Apparel,19,34.85,TikTok Shop
2026-05-09,Slip-on Sandals,Footwear,12,37.33,Shopee
