Date,Product Name,Category,Quantity,Price,Platform
2026-05-01,Silk Hijab,Apparel,5,26.2,Instagram
2026-05-01,Baju Melayu Set,Apparel,5,91.82,Instagram
2026-05-01,Crossbody Bag,Accessories,5,58.25,TikTok Shop
2026-05-01,Casual Kurung,Apparel,3,78.04,Shopee
2026-05-02,Casual Kurung,Apparel,5,79.2,Instagram
2026-05-02,Casual Kurung,Apparel,3,78.71,TikTok Shop
2026-05-02,Baju Melayu Set,Apparel,5,94.38,Instagram
2026-05-02,Baju Melayu Set,Apparel,3,98.66,Shopee
2026-05-02,Printed Blouse,Apparel,5,35.04,Shopee
2026-05-02,Canvas Sneakers,Footwear,4,50.12,TikTok Shop
2026-05-02,Slip-on Sandals,Footwear,8,29.0,TikTok Shop
2026-05-02,Printed Blouse,Apparel,6,34.35,TikTok Shop
2026-05-03,Casual Kurung,Apparel,6,74.56,Instagram
2026-05-03,Batik Shirt,Apparel,2,60.84,Shopee
2026-05-03,Heeled Wedges,Footwear,5,67.63,Shopee
2026-05-03,Baju Melayu Set,Apparel,6,93.84,Shopee
2026-05-03,Wireless Earbuds Pro,Electronics,6,81.57,Instagram
2026-05-03,Tote Bag,Accessories,7,25.96,Instagram
2026-05-03,Heeled Wedges,Footwear,2,71.92,Shopee
2026-05-03,Wireless Earbuds Pro,Electronics,2,87.74,Shopee
2026-05-04,Silk Hijab,Apparel,3,27.21,Shopee
2026-05-04,Casual Kurung,Apparel,3,81.01,TikTok Shop
2026-05-04,Casual Kurung,Apparel,6,77.99,Instagram
2026-05-04,Baju Melayu Set,Apparel,6,92.12,Shopee
2026-05-04,Crossbody Bag,Accessories,4,65.18,TikTok Shop
2026-05-05,Casual Kurung,Apparel,3,78.08,Shopee
2026-05-05,Silk Hijab,Apparel,5,25.22,Shopee
2026-05-05,Wireless Earbuds Pro,Electronics,6,85.77,TikTok Shop
2026-05-05,Heeled Wedges,Footwear,3,71.97,TikTok Shop
2026-05-05,Tote Bag,Accessories,2,29.44,Shopee
2026-05-05,Wireless Earbuds Pro,Electronics,4,87.01,TikTok Shop
2026-05-06,Batik Shirt,Apparel,4,55.27,TikTok Shop
2026-05-06,Batik Shirt,Apparel,2,60.1,TikTok Shop
2026-05-06,Wireless Earbuds Pro,Electronics,3,87.73,Shopee
2026-05-06,Baju Melayu Set,Apparel,2,97.1,Shopee
2026-05-07,Canvas Sneakers,Footwear,7,48.16,TikTok Shop
2026-05-07,Batik Shirt,Apparel,5,54.46,Shopee
2026-05-07,Printed Blouse,Apparel,3,35.89,Instagram
2026-05-07,Tote Bag,Accessories,7,25.03,Shopee
2026-05-07,Tote Bag,Accessories,7,26.12,Shopee
2026-05-07,Casual Kurung,Apparel,3,80.04,TikTok Shop
2026-05-07,Batik Shirt,Apparel,3,61.96,TikTok Shop
2026-05-07,Slip-on Sandals,Footwear,4,31.61,TikTok Shop
2026-05-08,Printed Blouse,Apparel,6,32.17,Shopee
2026-05-08,Crossbody Bag,Accessories,5,58.06,Shopee
2026-05-08,Casual Kurung,Apparel,3,81.24,Shopee
2026-05-08,Printed Blouse,Apparel,7,33.9,TikTok Shop
2026-05-08,Casual Kurung,Apparel,7,75.06,TikTok Shop
2026-05-09,Slip-on Sandals,Footwear,4,29.52,TikTok Shop
2026-05-09,Wireless Earbuds Pro,Electronics,7,83.83,TikTok Shop
2026-05-09,Slip-on Sandals,Footwear,5,28.43,Instagram
2026-05-09,Silk Hijab,Apparel,2,29.83,TikTok Shop
2026-05-09,Casual Kurung,Apparel,7,75.52,Shopee
2026-05-10,Heeled Wedges,Footwear,5,66.23,Shopee
2026-05-10,Printed Blouse,Apparel,2,38.46,TikTok Shop
2026-05-10,Silk Hijab,Apparel,1,31.99,Instagram
2026-05-10,Printed Blouse,Apparel,7,33.33,Shopee
2026-05-10,Slip-on Sandals,Footwear,2,34.92,Shopee
2026-05-11,Heeled Wedges,Footwear,3,71.88,Shopee
2026-05-11,Slip-on Sandals,Footwear,6,31.38,Shopee
2026-05-11,Baju Melayu Set,Apparel,4,93.37,Shopee
2026-05-11,Crossbody Bag,Accessories,5,62.34,Instagram
2026-05-11,Silk Hijab,Apparel,4,28.67,Shopee
2026-05-12,Tote Bag,Accessories,2,30.81,Shopee
2026-05-12,Crossbody Bag,Accessories,3,63.4,Shopee
2026-05-12,Heeled Wedges,Footwear,2,71.53,Shopee
2026-05-12,Crossbody Bag,Accessories,5,58.32,TikTok Shop
2026-05-13,Wireless Earbuds Pro,Electronics,5,85.52,TikTok Shop
2026-05-13,Batik Shirt,Apparel,4,59.36,Shopee
2026-05-13,Casual Kurung,Apparel,5,77.17,Shopee
2026-05-13,Slip-on Sandals,Footwear,1,35.43,Shopee
2026-05-13,Silk Hijab,Apparel,3,28.97,TikTok Shop
2026-05-13,Printed Blouse,Apparel,6,33.71,TikTok Shop
2026-05-13,Baju Melayu Set,Apparel,2,98.05,Shopee
2026-05-14,Batik Shirt,Apparel,5,57.51,Shopee
2026-05-14,Crossbody Bag,Accessories,5,62.23,Instagram
2026-05-14,Wireless Earbuds Pro,Electronics,2,88.51,Shopee
2026-05-14,Batik Shirt,Apparel,2,61.12,Shopee
