Date,Product Name,Category,Quantity,Price,Platform
2025-05-04,Tote Bag,Accessories,23,36.45,TikTok Shop
2025-05-04,Heeled Wedges,Footwear,31,65.43,Instagram
2025-05-04,Slip-on Sandals,Footwear,45,30.9,TikTok Shop
2025-05-04,Silk Hijab,Apparel,35,27.54,Instagram
2025-05-04,Baju Melayu Set,Apparel,11,89.26,Shopee
2025-05-04,Casual Kurung,Apparel,20,75.45,Shopee
2025-05-04,Crossbody Bag,Accessories,31,76.3,Instagram
2025-05-04,Slip-on Sandals,Footwear,27,37.31,Shopee
2025-05-04,Slip-on Sandals,Footwear,14,37.38,Shopee
2025-05-04,Silk Hijab,Apparel,17,25.58,TikTok Shop
2025-05-04,Tote Bag,Accessories,28,32.8,Shopee
2025-05-04,Printed Blouse,Apparel,12,33.39,Shopee
2025-05-05,Printed Blouse,Apparel,60,29.88,TikTok Shop
2025-05-05,Silk Hijab,Apparel,13,33.61,TikTok Shop
2025-05-05,Crossbody Bag,Accessories,31,78.56,Shopee
2025-05-05,Tote Bag,Accessories,17,31.83,Shopee
2025-05-05,Printed Blouse,Apparel,25,39.49,Shopee
2025-05-05,Silk Hijab,Apparel,37,26.7,Shopee
2025-05-05,Heeled Wedges,Footwear,6,72.55,Instagram
2025-05-05,Casual Kurung,Apparel,14,70.87,Shopee
2025-05-05,Silk Hijab,Apparel,28,28.6,TikTok Shop
2025-05-05,Canvas Sneakers,Footwear,25,57.41,Shopee
2025-05-05,Canvas Sneakers,Footwear,35,44.81,Instagram
2025-05-05,Batik Shirt,Apparel,8,61.56,Shopee
2025-05-05,Heeled Wedges,Footwear,9,63.23,Instagram
2025-05-06,Baju Melayu Set,Apparel,12,84.02,TikTok Shop
2025-05-06,Heeled Wedges,Footwear,36,65.12,Shopee
2025-05-06,Silk Hijab,Apparel,49,25.86,Shopee
2025-05-06,Tote Bag,Accessories,11,28.93,TikTok Shop
2025-05-06,Batik Shirt,Apparel,2,53.38,Shopee
2025-05-06,Baju Melayu Set,Apparel,33,96.89,Shopee
2025-05-06,Printed Blouse,Apparel,39,30.04,Shopee
2025-05-06,Canvas Sneakers,Footwear,25,54.2,TikTok Shop
2025-05-06,Baju Melayu Set,Apparel,38,84.46,Shopee
2025-05-06,Crossbody Bag,Accessories,6,71.51,Shopee
2025-05-06,Baju Melayu Set,Apparel,15,89.91,TikTok Shop
2025-05-06,Tote Bag,Accessories,29,32.12,Shopee
2025-05-07,Baju Melayu Set,Apparel,13,78.34,Shopee
2025-05-07,Silk Hijab,Apparel,31,27.6,Instagram
2025-05-07,Tote Bag,Accessories,12,27.81,TikTok Shop
2025-05-07,Batik Shirt,Apparel,20,54.01,TikTok Shop
2025-05-07,Baju Melayu Set,Apparel,23,95.07,Shopee
2025-05-07,Baju Melayu Set,Apparel,49,87.62,TikTok Shop
2025-05-07,Baju Melayu Set,Apparel,24,82.3,Shopee
2025-05-07,Printed Blouse,Apparel,42,34.1,Shopee
2025-05-07,Canvas Sneakers,Footwear,38,47.62,Shopee
2025-05-07,Tote Bag,Accessories,9,33.8,TikTok Shop
2025-05-07,Tote Bag,Accessories,45,29.68,Shopee
2025-05-07,Crossbody Bag,Accessories,38,66.26,TikTok Shop
2025-05-07,Printed Blouse,Apparel,16,36.16,TikTok Shop
2025-05-07,Printed Blouse,Apparel,14,34.9,Shopee
2025-05-07,Heeled Wedges,Footwear,6,65.33,Shopee
2025-05-07,Batik Shirt,Apparel,10,49.92,Shopee
2025-05-08,Canvas Sneakers,Footwear,46,44.52,Shopee
2025-05-08,Silk Hijab,Apparel,45,29.2,TikTok Shop
2025-05-08,Crossbody Bag,Accessories,18,72.32,TikTok Shop
2025-05-08,Slip-on Sandals,Footwear,34,33.32,Shopee
2025-05-08,Casual Kurung,Apparel,25,75.95,Instagram
2025-05-08,Silk Hijab,Apparel,15,31.95,Shopee
2025-05-08,Slip-on Sandals,Footwear,31,35.01,Instagram
2025-05-08,Canvas Sneakers,Footwear,10,47.52,Shopee
2025-05-08,Heeled Wedges,Footwear,23,58.18,Shopee
2025-05-08,Crossbody Bag,Accessories,20,64.64,Instagram
2025-05-08,Batik Shirt,Apparel,25,54.3,Instagram
2025-05-08,Batik Shirt,Apparel,10,58.81,Shopee
2025-05-08,Silk Hijab,Apparel,25,26.25,Shopee
2025-05-08,Batik Shirt,Apparel,18,50.72,TikTok Shop
2025-05-08,Baju Melayu Set,Apparel,17,91.5,TikTok Shop
2025-05-08,Baju Melayu Set,Apparel,46,83.87,TikTok Shop
2025-05-09,Baju Melayu Set,Apparel,43,78.81,TikTok Shop
2025-05-09,Baju Melayu Set,Apparel,23,95.22,Shopee
2025-05-09,Crossbody Bag,Accessories,21,78.53,Shopee
2025-05-09,Heeled Wedges,Footwear,10,68.45,Instagram
2025-05-09,Slip-on Sandals,Footwear,21,38.79,Shopee
2025-05-09,Crossbody Bag,Accessories,7,71.43,Shopee
2025-05-09,Silk Hijab,Apparel,24,26.65,TikTok Shop
2025-05-09,Heeled Wedges,Footwear,42,58.02,Shopee
2025-05-09,Batik Shirt,Apparel,43,57.69,TikTok Shop
2025-05-09,Casual Kurung,Apparel,11,80.37,Shopee
2025-05-09,Printed Blouse,Apparel,24,37.86,Shopee
2025-05-09,Printed Blouse,Apparel,12,38.26,TikTok Shop
2025-05-09,Casual Kurung,Apparel,10,70.27,Shopee
2025-05-09,Batik Shirt,Apparel,17,47.67,Shopee
2025-05-09,Batik Shirt,Apparel,22,59.25,Shopee
2025-05-10,Slip-on Sandals,Footwear,41,31.14,Instagram
2025-05-10,Silk Hijab,Apparel,49,26.97,TikTok Shop
2025-05-10,Canvas Sneakers,Footwear,39,49.4,Shopee
2025-05-10,Crossbody Bag,Accessories,40,75.15,Shopee
2025-05-10,Slip-on Sandals,Footwear,6,38.89,TikTok Shop
2025-05-10,Casual Kurung,Apparel,34,75.33,Shopee
2025-05-10,Heeled Wedges,Footwear,23,73.11,Instagram
2025-05-10,Tote Bag,Accessories,31,28.34,Shopee
2025-05-10,Casual Kurung,Apparel,28,84.95,TikTok Shop
2025-05-10,Canvas Sneakers,Footwear,16,54.7,Shopee
2025-05-10,Heeled Wedges,Footwear,46,62.94,TikTok Shop
2025-05-10,Slip-on Sandals,Footwear,13,39.12,TikTok Shop
2025-05-10,Silk Hijab,Apparel,11,26.01,Shopee
2025-05-11,Baju Melayu Set,Apparel,43,80.99,Instagram
2025-05-11,Baju Melayu Set,Apparel,4,92.4,Shopee
2025-05-11,Printed Blouse,Apparel,36,35.89,Shopee
2025-05-11,Crossbody Bag,Accessories,20,70.3,Instagram
2025-05-11,Slip-on Sandals,Footwear,28,29.88,Shopee
2025-05-11,Slip-on Sandals,Footwear,36,38.58,Shopee
2025-05-11,Printed Blouse,Apparel,33,30.65,Shopee
2025-05-11,Heeled Wedges,Footwear,5,63.37,Instagram
2025-05-11,Baju Melayu Set,Apparel,47,88.79,Shopee
2025-05-11,Silk Hijab,Apparel,15,28.89,Shopee
2025-05-11,Casual Kurung,Apparel,7,76.2,Shopee
2025-05-11,Canvas Sneakers,Footwear,14,46.35,Shopee
2025-05-11,Slip-on Sandals,Footwear,45,34.01,TikTok Shop
2025-05-11,Canvas Sneakers,Footwear,12,43.94,Shopee
2025-05-11,Casual Kurung,Apparel,8,68.98,TikTok Shop
2025-05-11,Casual Kurung,Apparel,25,81.89,Shopee
2025-05-11,Baju Melayu Set,Apparel,13,77.76,Shopee
2025-05-11,Baju Melayu Set,Apparel,23,89.0,TikTok Shop
2025-05-11,Printed Blouse,Apparel,62,32.31,TikTok Shop
2025-05-12,Baju Melayu Set,Apparel,19,87.42,Shopee
2025-05-12,Casual Kurung,Apparel,14,71.51,Shopee
2025-05-12,Crossbody Bag,Accessories,13,73.87,Shopee
2025-05-12,Canvas Sneakers,Footwear,8,52.37,Shopee
2025-05-12,Printed Blouse,Apparel,36,38.52,TikTok Shop
2025-05-12,Canvas Sneakers,Footwear,34,43.06,Shopee
2025-05-12,Slip-on Sandals,Footwear,14,35.27,Shopee
2025-05-12,Casual Kurung,Apparel,7,68.41,Shopee
2025-05-12,Crossbody Bag,Accessories,9,63.38,TikTok Shop
2025-05-12,Batik Shirt,Apparel,7,61.47,Instagram
2025-05-12,Printed Blouse,Apparel,36,32.23,Shopee
2025-05-12,Batik Shirt,Apparel,51,52.51,TikTok Shop
2025-05-12,Baju Melayu Set,Apparel,25,98.98,TikTok Shop
2025-05-12,Casual Kurung,Apparel,30,79.91,TikTok Shop
2025-05-12,Printed Blouse,Apparel,1,39.27,Instagram
2025-05-12,Silk Hijab,Apparel,7,33.55,Instagram
2025-05-12,Tote Bag,Accessories,14,29.08,TikTok Shop
2025-05-12,Tote Bag,Accessories,43,28.3,Shopee
2025-05-13,Batik Shirt,Apparel,36,55.81,Shopee
2025-05-13,Heeled Wedges,Footwear,21,58.2,Shopee
2025-05-13,Slip-on Sandals,Footwear,31,34.79,Instagram
2025-05-13,Heeled Wedges,Footwear,13,56.08,TikTok Shop
2025-05-13,Crossbody Bag,Accessories,34,77.62,TikTok Shop
2025-05-13,Crossbody Bag,Accessories,5,63.27,Shopee
2025-05-13,Tote Bag,Accessories,26,36.68,TikTok Shop
2025-05-13,Batik Shirt,Apparel,46,51.28,TikTok Shop
2025-05-13,Tote Bag,Accessories,4,34.92,Instagram
2025-05-13,Casual Kurung,Apparel,40,80.53,TikTok Shop
2025-05-13,Heeled Wedges,Footwear,28,73.64,Shopee
2025-05-13,Crossbody Bag,Accessories,26,70.16,Shopee
2025-05-13,Batik Shirt,Apparel,29,53.13,TikTok Shop
2025-05-14,Casual Kurung,Apparel,27,73.13,Shopee
2025-05-14,Tote Bag,Accessories,39,27.41,TikTok Shop
2025-05-14,Casual Kurung,Apparel,29,70.81,Shopee
2025-05-14,Batik Shirt,Apparel,27,53.16,Instagram
2025-05-14,Batik Shirt,Apparel,14,53.0,TikTok Shop
