order_creation_date,item_category,product_name,quantity,deal_price,platform
2026-01-12,Accessories,Silicone iPhone Case,5,15.0,TikTok Shop
2026-01-12,Accessories,Tempered Glass Screen Protector,17,8.0,Shopee
2026-01-12,Electronics,Fast Charging USB-C Cable,7,12.0,Shopee
2026-01-12,Electronics,20W PD Wall Charger,4,25.0,Shopee
2026-01-13,Accessories,Silicone iPhone Case,4,15.0,Shopee
2026-01-13,Accessories,Tempered Glass Screen Protector,11,8.0,Shopee
2026-01-13,Electronics,Fast Charging USB-C Cable,10,12.0,TikTok Shop
2026-01-13,Electronics,20W PD Wall Charger,4,25.0,Shopee
2026-01-13,Electronics,Magnetic Wireless Power Bank,2,55.0,Shopee
2026-01-14,Accessories,Silicone iPhone Case,9,15.0,Shopee
2026-01-14,Accessories,Tempered Glass Screen Protector,18,8.0,Shopee
2026-01-14,Electronics,Fast Charging USB-C Cable,8,12.0,TikTok Shop
2026-01-14,Electronics,20W PD Wall Charger,3,25.0,Shopee
2026-01-14,Electronics,Magnetic Wireless Power Bank,2,55.0,TikTok Shop
2026-01-15,Accessories,Silicone iPhone Case,11,15.0,TikTok Shop
2026-01-15,Accessories,Tempered Glass Screen Protector,14,8.0,Shopee
2026-01-15,Electronics,Fast Charging USB-C Cable,8,12.0,Shopee
2026-01-15,Electronics,20W PD Wall Charger,6,25.0,TikTok Shop
2026-01-15,Electronics,Magnetic Wireless Power Bank,1,55.0,TikTok Shop
2026-01-16,Accessories,Silicone iPhone Case,3,15.0,Shopee
2026-01-16,Accessories,Tempered Glass Screen Protector,17,8.0,TikTok Shop
2026-01-16,Electronics,Fast Charging USB-C Cable,5,12.0,TikTok Shop
2026-01-16,Electronics,20W PD Wall Charger,6,25.0,Shopee
2026-01-16,Electronics,Magnetic Wireless Power Bank,2,55.0,Shopee
2026-01-17,Accessories,Silicone iPhone Case,10,15.0,TikTok Shop
2026-01-17,Accessories,Tempered Glass Screen Protector,18,8.0,Shopee
2026-01-17,Electronics,Fast Charging USB-C Cable,16,12.0,Shopee
2026-01-17,Electronics,20W PD Wall Charger,3,25.0,Shopee
2026-01-17,Electronics,Magnetic Wireless Power Bank,3,55.0,Shopee
2026-01-18,Accessories,Silicone iPhone Case,9,15.0,Shopee
2026-01-18,Accessories,Tempered Glass Screen Protector,30,8.0,Shopee
2026-01-18,Electronics,Fast Charging USB-C Cable,19,12.0,Shopee
2026-01-18,Electronics,20W PD Wall Charger,3,25.0,Shopee
2026-01-18,Electronics,Magnetic Wireless Power Bank,1,55.0,Shopee
2026-01-19,Accessories,Silicone iPhone Case,12,15.0,Shopee
2026-01-19,Accessories,Tempered Glass Screen Protector,18,8.0,TikTok Shop
2026-01-19,Electronics,Fast Charging USB-C Cable,4,12.0,TikTok Shop
2026-01-19,Electronics,20W PD Wall Charger,8,25.0,Shopee
2026-01-20,Accessories,Silicone iPhone Case,10,15.0,Shopee
2026-01-20,Accessories,Tempered Glass Screen Protector,15,8.0,TikTok Shop
2026-01-20,Electronics,Fast Charging USB-C Cable,10,12.0,Shopee
2026-01-20,Electronics,20W PD Wall Charger,4,25.0,Shopee
2026-01-21,Accessories,Silicone iPhone Case,11,15.0,TikTok Shop
2026-01-21,Accessories,Tempered Glass Screen Protector,7,8.0,TikTok Shop
2026-01-21,Electronics,Fast Charging USB-C Cable,15,12.0,Shopee
2026-01-21,Electronics,20W PD Wall Charger,7,25.0,TikTok Shop
2026-01-21,Electronics,Magnetic Wireless Power Bank,1,55.0,Shopee
2026-01-22,Accessories,Silicone iPhone Case,3,15.0,Shopee
2026-01-22,Accessories,Tempered Glass Screen Protector,8,8.0,Shopee
2026-01-22,Electronics,Fast Charging USB-C Cable,14,12.0,Shopee
2026-01-22,Electronics,20W PD Wall Charger,4,25.0,Shopee
2026-01-22,Electronics,Magnetic Wireless Power Bank,3,55.0,Shopee
2026-01-23,Accessories,Silicone iPhone Case,4,15.0,Shopee
2026-01-23,Accessories,Tempered Glass Screen Protector,8,8.0,Shopee
2026-01-23,Electronics,Fast Charging USB-C Cable,7,12.0,Shopee
2026-01-23,Electronics,20W PD Wall Charger,7,25.0,Shopee
2026-01-23,Electronics,Magnetic Wireless Power Bank,3,55.0,Shopee
2026-01-24,Accessories,Silicone iPhone Case,16,15.0,TikTok Shop
2026-01-24,Accessories,Tempered Glass Screen Protector,13,8.0,Shopee
2026-01-24,Electronics,Fast Charging USB-C Cable,15,12.0,TikTok Shop
2026-01-24,Electronics,20W PD Wall Charger,9,25.0,Shopee
2026-01-24,Electronics,Magnetic Wireless Power Bank,3,55.0,TikTok Shop
2026-01-25,Accessories,Silicone iPhone Case,24,14.25,Shopee
2026-01-25,Accessories,Tempered Glass Screen Protector,36,7.6,Shopee
2026-01-25,Electronics,Fast Charging USB-C Cable,44,11.4,TikTok Shop
2026-01-25,Electronics,20W PD Wall Charger,6,23.75,Shopee
2026-01-25,Electronics,Magnetic Wireless Power Bank,2,52.25,Shopee
2026-01-26,Accessories,Silicone iPhone Case,12,14.25,Shopee
2026-01-26,Accessories,Tempered Glass Screen Protector,18,7.6,Shopee
2026-01-26,Electronics,Fast Charging USB-C Cable,30,11.4,TikTok Shop
2026-01-26,Electronics,20W PD Wall Charger,4,23.75,Shopee
2026-01-26,Electronics,Magnetic Wireless Power Bank,4,52.25,Shopee
2026-01-27,Accessories,Silicone iPhone Case,12,14.25,Shopee
